ano;cod_agrup_prem;cod_premissa;tipo_clb;flag_ativa;valor_m01;valor_m02;valor_m03;valor_m04;valor_m05;valor_m06;valor_m07;valor_m08;valor_m09;valor_m10;valor_m11;valor_m12
2023;SUL_FL;vr;7;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_PA;ass_med;1;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_PA;ass_med;2;s;0;0;0;0;0;0;0;0;0;0;0;0
2023;SUL_PA;ass_med;3;s;0;0;0;0;0;0;0;0;0;0;0;0
2023;SUL_PA;ass_med;4;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_PA;ass_med;5;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_PA;ass_med;6;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_PA;ass_med;7;s;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09;314,09
2023;SUL_PA;dissidio;*;s;0;0;0;0;0;7;0;0;0;0;0;0
2023;SUL_PA;vr;1;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_PA;vr;2;s;266;266;266;266;266;266;266;266;266;266;266;266
2023;SUL_PA;vr;3;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_PA;vr;4;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_PA;vr;5;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_PA;vr;6;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
2023;SUL_PA;vr;7;s;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5;674,5
