ano;premissa;ativa;tipoSegmCentroCusto;segmTipoClb;empresa;agrupPremissas;tipoColaborador;m01;m02;m03;m04;m05;m06;m07;m08;m09;m10;m11;m12
2023;vr;n;a;s;;C_OESTE;3;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76
2023;vr;n;a;s;;C_OESTE;4;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76
2023;vr;n;a;s;;C_OESTE;5;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76
2023;vr;n;a;s;;C_OESTE;6;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76
2023;vr;n;a;s;;C_OESTE;7;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76;657,76
2023;vr;n;a;s;;C_OESTE;8;0;0;0;0;0;0;0;0;0;0;0;0
2023;vr;s;a;s;;CY_A_MEND;1;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96
2023;vr;s;a;s;;CY_A_MEND;2;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96
2023;vr;s;a;s;;CY_A_MEND;3;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96
2023;vr;s;a;s;;CY_A_MEND;4;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96
2023;vr;s;a;s;;CY_A_MEND;5;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96
2023;vr;s;a;s;;CY_A_MEND;6;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96
2023;vr;s;a;s;;CY_A_MEND;7;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96;413,96
2023;vr;s;a;s;;NORTE;1;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;vr;s;a;s;;NORTE;2;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
2023;vr;s;a;s;;NORTE;3;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45;517,45
